"","lon","lat","pH","EC","GWC","per_clay","per_sand","per_silt","Al","As","B","Ca","Cd","Co","Cr","Cu","Fe","K","Mg","Mn","Mo","Na","Ni","P","S","Ti","Zn","per_som","PerN","PerC","CNRatio","Ele"
"WS-22-4",-94.23539637,36.06587586,6.15,149.4,0.492954448,10.513825,18.5,70.986175,28.2,0.011,1.85,113,0.004,0.013,0.01,0.066,34,3.42,3.38,2.52,0,13,0.08,1.11,1.61,0.057,0.215,3.0675,0.17017822,1.782517552,10.47441673,375.109
"WS-22-5",-94.23543074,36.06587681,6.45,118.5,0.21257788,6.439975,18.875,74.685025,31,0.021,1.81,134,0.003,0.018,0.012,0.081,37.9,3.87,3.29,2.74,0,16.3,0.051,0.924,1.48,0.064,0.188,3.12,0.188412517,1.928044677,10.2331028,375.118
"WS-2-2",-94.23415139,36.06587111,6.9,175.8,0.301219971,18.55865,24.5,56.94135,39.2,0.012,4.64,199,0.003,0.02,0.014,0.11,32.9,4.11,6,2.34,0,10.4,0.055,0.672,1.11,0.033,0.225,3.515,0.199494362,2.335890055,11.70905304,375.277
"WS-23-1",-94.2350696,36.06603147,6.32,173.5,0.251898903,4.56765,15.5,79.93235,56.3,0.018,1.88,185,0.003,0.033,0.044,0.055,44.2,7.28,10.8,2.78,0.001,21.6,0.078,0.776,2.24,0.057,0.177,3.42,0.219950408,2.102813244,9.560397148,375.05502
"WS-23-2",-94.23510147,36.06599421,5.78,151.2,0.285392762,4.89685,12.125,82.97815,58.8,0.018,1.84,187,0.003,0.034,0.045,0.052,44.3,7.06,10.8,2.85,0.001,21.8,0.08,0.71,2.21,0.055,0.184,3.67,0.219449967,2.376577616,10.82970142,375.1
"WS-23-3",-94.2350626,36.06590764,6.08,204,0.285562762,4.6911,13.625,81.6839,50.4,0.013,1.51,292,0.003,0.032,0.018,0.117,33.3,6.08,13.3,2.17,0,10.9,0.07,0.409,1.22,0.026,0.131,3.5,0.224473819,2.428240299,10.81747627,375.054
"WS-23-4",-94.2349088,36.06597778,6.16,137.7,0.261628902,9.361625,14.25,76.388375,45.9,0.021,1.86,187,0.004,0.023,0.033,0.065,47.4,5.43,6.12,3.53,0.001,14.1,0.073,1.14,1.32,0.062,0.218,3.605,0.221027538,2.470892668,11.1791172,375.063
"WS-2-3",-94.23429717,36.06597562,5.44,58.2,0.308142687,23.476075,25.875,50.648925,64.7,0.003,4.77,65.6,0.003,0.018,0.01,0.081,29.9,23.2,1.82,2.78,0,6.22,0.06,1.74,1.19,0.046,0.171,3.5125,0.192494512,2.100561857,10.91232109,375.28802
"WS-24-1",-94.23544175,36.06567718,5.4,87.6,0.285486667,8.291725,12.5,79.208275,49.5,0.011,4,200,0.003,0.039,0.015,0.102,41.4,7.17,8.92,3.01,0.001,11,0.097,0.813,1.1,0.05,0.272,3.5725,0.22450003,2.369626045,10.55512619,375.196
"WS-24-2",-94.23538306,36.06581712,6.1,125.6,0.20765128,12.571325,21,66.428675,22,0.008,4.28,113,0.003,0.015,0.005,0.085,26.6,3.54,3.93,3.14,0.001,13.9,0.053,1.14,1.89,0.043,0.182,3.4725,0.187192097,2.056937218,10.98837662,375.158
"WS-24-3",-94.23530383,36.06571792,5.63,89.5,0.370321226,12.283275,14.625,73.091725,41.8,0.019,4.31,196,0.003,0.035,0.016,0.097,41.2,6.3,7,2.34,0.001,12,0.067,0.79,1.01,0.055,0.2,3.2225,0.213321164,2.054436207,9.630719185,375.20996
